tp,op,hhtested,version
0.5,0.005,30%,clnrs
0.5,0.003,30%,clnrs
0.5,0.001,30%,clnrs
0.5,0.004,30%,clnrs
0.5,0.001,30%,clnrs
0.5,0.005,30%,clnrs
0.5,0.001,30%,clnrs
0.5,0.002,40%,clnrs
0.5,0.005,40%,clnrs
0.5,0.003,40%,clnrs
0.5,0.002,40%,clnrs
0.5,0,40%,clnrs
0.5,0.003,40%,clnrs
0.5,0.001,40%,clnrs
0.5,0.002,40%,clnrs
0.5,0,40%,clnrs
0.5,0.002,40%,clnrs
0.5,0.001,40%,clnrs
0.5,0.003,40%,clnrs
0.5,0.005,40%,clnrs
0.5,0,40%,clnrs
0.5,0.002,40%,clnrs
0.5,0.005,40%,clnrs
0.5,0,40%,clnrs
0.5,0.002,40%,clnrs
0.5,0.002,40%,clnrs
0.5,0.003,40%,clnrs
0.5,0.003,40%,clnrs
0.5,0.004,40%,clnrs
0.5,0.003,40%,clnrs
0.5,0.004,40%,clnrs
0.5,0.005,40%,clnrs
0.5,0.005,40%,clnrs
0.5,0.001,40%,clnrs
0.5,0.002,40%,clnrs
0.5,0.001,40%,clnrs
0.5,0.001,40%,clnrs
0.5,0.001,40%,clnrs
0.5,0.003,40%,clnrs
0.5,0.003,40%,clnrs
0.5,0.001,40%,clnrs
0.5,0.003,40%,clnrs
0.5,0.001,40%,clnrs
0.5,0.002,40%,clnrs
0.5,0.002,40%,clnrs
0.5,0.003,40%,clnrs
0.5,0,40%,clnrs
0.5,0.002,40%,clnrs
0.5,0.001,40%,clnrs
0.5,0.003,40%,clnrs
0.5,0.002,40%,clnrs
0.5,0.003,40%,clnrs
0.5,0.002,40%,clnrs
0.5,0.002,40%,clnrs
0.5,0.002,40%,clnrs
0.5,0.002,40%,clnrs
0.5,0.003,40%,clnrs
0.5,0.001,40%,clnrs
0.5,0.002,40%,clnrs
0.5,0.002,40%,clnrs
0.5,0.002,40%,clnrs
0.5,0,40%,clnrs
0.5,0.002,40%,clnrs
0.5,0.003,40%,clnrs
0.5,0.002,40%,clnrs
0.5,0.003,40%,clnrs
0.5,0.003,40%,clnrs
0.5,0.001,40%,clnrs
0.5,0.002,40%,clnrs
0.5,0.002,40%,clnrs
0.5,0,40%,clnrs
0.5,0.003,40%,clnrs
0.5,0.003,40%,clnrs
0.5,0.002,40%,clnrs
0.5,0.002,40%,clnrs
0.5,0.002,40%,clnrs
0.5,0.003,40%,clnrs
0.5,0.004,40%,clnrs
0.5,0.003,40%,clnrs
0.5,0.003,40%,clnrs
0.5,0.005,40%,clnrs
0.5,0.002,40%,clnrs
0.5,0.002,40%,clnrs
0.5,0,40%,clnrs
0.5,0.001,40%,clnrs
0.5,0.001,40%,clnrs
0.5,0.002,40%,clnrs
0.5,0.005,40%,clnrs
0.5,0.005,40%,clnrs
0.5,0,40%,clnrs
0.5,0,40%,clnrs
0.5,0.002,40%,clnrs
0.5,0,40%,clnrs
0.5,0.002,40%,clnrs
0.5,0.002,40%,clnrs
0.5,0.004,40%,clnrs
0.5,0.006,40%,clnrs
